@RELATION undersample

@ATTRIBUTE WCHU_fanIn NUMERIC
@ATTRIBUTE ck_oo_fanIn NUMERIC
@ATTRIBUTE ck_oo_cbo NUMERIC
@ATTRIBUTE WCHU_cbo NUMERIC
@ATTRIBUTE LDHH_numberOfAttributesInherited NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributesInherited NUMERIC
@ATTRIBUTE WCHU_dit NUMERIC
@ATTRIBUTE WCHU_numberOfAttributesInherited NUMERIC
@ATTRIBUTE numberOfHighPriorityBugsFoundUntil: NUMERIC
@ATTRIBUTE CvsEntropy NUMERIC
@ATTRIBUTE numberOfCriticalBugsFoundUntil: NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateMethods NUMERIC
@ATTRIBUTE LDHH_numberOfPrivateMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPublicMethods NUMERIC
@ATTRIBUTE CvsLinEntropy NUMERIC
@ATTRIBUTE WCHU_numberOfAttributes NUMERIC
@ATTRIBUTE LDHH_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributes NUMERIC
@ATTRIBUTE ck_oo_dit NUMERIC
@ATTRIBUTE WCHU_numberOfMethodsInherited NUMERIC
@ATTRIBUTE LDHH_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_fanOut NUMERIC
@ATTRIBUTE WCHU_noc NUMERIC
@ATTRIBUTE ck_oo_numberOfLinesOfCode NUMERIC
@ATTRIBUTE class {clean, buggy}

@DATA
0.0,1,28,3.03,0.016601,17,0.0,1.12,0,23.3337,1,3,0.0,0.0,0,9,0.0,0.049605,1.01,0.0,0,4,2,2.02,0.0,3.03,0.0,423,clean
0.0,1,3,0.0,0.0,0,0.0,0.0,0,3.58477,0,0,0.0,0.0,7,8,0.0,0.119691,0.0,0.0,0,7,2,0.0,0.0,0.0,0.0,51,clean
1.01,2,5,1.01,0.0,9,0.0,0.0,0,2.36846,0,0,0.0,0.0,5,6,0.0,0.004246,0.0,0.0,0,5,2,1.01,0.0,0.0,0.0,37,clean
0.0,5,5,0.0,0.001441,6,0.0,1.01,0,4.08525,0,0,0.0,0.0,1,1,0.0,0.005998,0.0,0.0,0,1,4,2.03,0.0,0.0,0.0,3,clean
0.0,0,7,1.04,0.0,6,0.0,0.0,0,2.38353,0,0,0.0,0.0,2,20,0.0,0.007733,0.0,0.0,0,2,2,0.0,0.0,1.04,0.0,87,clean
0.0,1,2,0.0,0.043647,387,1.02,23.63,0,4.07501,0,0,0.0,0.0,0,2,0.0,0.006219,0.0,0.0,0,0,3,2.02,0.0,0.0,0.0,12,clean
5.07,23,25,5.07,0.0,0,0.0,0.0,0,8.23039,0,1,0.0,0.0,0,11,1.01,0.013293,0.0,0.0,4,4,1,1.02,0.001814,0.0,0.0,127,clean
1.01,6,11,3.03,0.039372,49,1.02,15.06,0,12.5452,0,0,0.0,0.0,0,6,0.0,0.145537,0.0,0.0,2,2,4,24.4,0.0,2.02,0.0,64,clean
0.0,1,3,0.0,0.0,6,0.0,0.0,0,3.92315,0,0,0.0,0.0,0,8,0.0,0.148538,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,56,clean
1.01,1,11,4.05,0.016601,12,0.0,1.12,1,19.9756,0,3,0.000773,0.0,0,9,4.04,0.086482,0.0,0.0,2,2,1,1.01,0.003505,5.06,0.0,198,clean
0.0,2,12,2.02,0.001105,28,0.0,1.03,0,11.0281,0,1,0.001009,0.0,0,8,0.0,0.137491,0.0,0.0,0,1,4,4.1,0.001036,2.02,0.0,64,clean
0.0,1,3,0.0,0.0,14,0.0,0.0,0,4.07501,0,0,0.0,0.0,0,4,0.0,0.006219,0.0,0.0,2,2,1,1.01,0.0,0.0,0.0,17,clean
0.0,1,1,0.0,0.0,0,0.0,0.0,0,0.0,0,1,0.0,0.0,0,10,0.0,0.0,0.0,0.0,3,3,1,0.0,0.0,0.0,0.0,55,clean
2.02,2,4,2.02,0.016601,12,0.0,1.12,0,10.8648,0,0,0.0,1.01,0,2,1.01,0.030107,3.05,0.008228,4,6,1,4.05,0.0,0.0,0.0,15,clean
0.0,1,2,0.0,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,1,9,0.0,0.154542,0.0,0.0,0,1,3,3.05,0.0,0.0,0.0,31,clean
2.02,5,7,1.01,0.004526,8,1.01,1.01,1,8.12446,0,0,0.0,0.0,0,10,1.02,0.128171,1.02,0.0,0,3,5,3.06,0.000853,1.01,0.0,34,clean
0.0,2,15,2.02,0.0,0,0.0,0.0,0,11.1327,0,1,0.0,0.0,0,6,0.0,0.134361,0.0,0.0,1,1,1,1.01,0.0,2.02,0.0,152,clean
2.02,5,5,1.01,0.005575,152,0.0,4.09,0,4.08525,0,1,0.001087,1.01,1,5,1.01,0.005998,0.0,0.000939,0,1,2,1.01,0.0,1.01,0.0,27,clean
0.0,0,6,0.0,0.0,0,0.0,0.0,0,0.0,0,2,0.0,0.0,7,7,0.0,0.0,0.0,0.0,9,16,2,0.0,0.0,0.0,0.0,142,clean
0.0,0,3,0.0,0.0,0,0.0,0.0,1,14.6865,1,2,0.000563,0.0,0,3,0.0,0.167995,0.0,0.0,0,1,1,1.01,0.000652,0.0,0.0,19,clean
0.0,2,4,0.0,0.001421,95,0.0,1.01,0,10.4485,0,0,0.0,1.01,2,12,0.0,0.168866,1.01,0.0,0,3,2,2.02,0.0,0.0,0.0,63,clean
1.02,3,3,1.01,0.004938,73,0.0,2.05,0,6.94335,0,0,0.0,0.0,1,5,1.01,0.009766,0.0,0.0,0,1,8,13.41,0.001056,0.0,0.0,23,clean
0.0,1,5,1.04,0.0,0,0.0,0.0,0,7.99162,1,0,0.0,0.0,2,9,1.02,0.157613,0.0,0.0,0,2,1,1.01,0.000923,1.04,0.0,44,clean
2.02,3,3,3.03,0.005575,152,0.0,4.09,0,6.77104,0,1,0.001087,1.01,1,12,0.0,0.010135,0.0,0.000939,0,1,2,1.01,0.001015,1.01,0.0,37,clean
0.0,2,17,4.07,0.001105,25,0.0,1.03,0,15.9473,1,0,0.0,0.0,0,7,0.0,0.150379,1.01,0.0,0,2,3,4.08,0.001036,4.07,0.0,83,clean
0.0,0,0,0.0,0.0,0,0.0,0.0,0,3.83244,0,0,0.0,0.0,0,2,0.0,0.005035,2.02,0.0,0,5,1,1.01,0.0,0.0,0.0,0,clean
15.41,135,150,15.41,0.0,0,0.0,0.0,1,14.5995,0,1,0.0,0.0,7,61,1.01,0.177241,1.01,0.0,2,102,1,1.01,0.000932,0.0,0.0,657,clean
0.0,2,12,2.02,0.001105,28,0.0,1.03,0,11.0281,0,1,0.001009,0.0,0,8,0.0,0.137491,0.0,0.0,0,1,4,4.1,0.001036,2.02,0.0,64,clean
0.0,1,2,0.0,0.033278,32,1.02,6.17,0,1.26811,0,0,0.0,0.0,0,3,0.0,0.001556,0.0,0.0,1,1,3,2.02,0.0,0.0,0.0,10,clean
0.0,4,15,1.01,0.006257,45,0.0,3.04,1,8.29601,1,0,0.0,0.0,0,14,0.0,0.012981,0.0,0.0,0,6,2,0.0,0.0,1.01,0.0,286,clean
0.0,4,10,1.01,0.0,5,0.0,0.0,0,12.9551,0,0,0.0,0.0,0,9,1.01,0.152112,0.0,0.0,0,6,1,2.02,0.004124,2.02,0.0,75,clean
2.02,2,12,4.08,0.015088,5,0.0,2.03,0,13.1836,0,0,0.001358,3.03,1,9,1.01,0.166302,2.02,0.0,0,1,3,4.08,0.002232,1.05,0.0,155,clean
0.0,1,3,0.0,0.043647,388,1.02,23.66,0,4.07501,0,0,0.0,0.0,0,3,0.0,0.006219,0.0,0.0,0,0,8,8.1,0.0,0.0,0.0,21,clean
0.0,12,18,0.0,0.001421,95,0.0,1.01,0,6.84846,0,0,0.0,0.0,5,14,0.0,0.151789,0.0,0.0,0,7,3,2.02,0.0,0.0,0.0,108,clean
3.04,13,23,3.04,0.043647,397,1.02,23.65,1,20.4932,0,0,0.0,0.0,1,8,0.0,0.168942,0.0,0.0,0,1,5,3.03,0.0,0.0,0.0,132,clean
1.01,8,8,1.01,0.036902,35,1.02,9.2,0,8.13317,0,0,0.0,0.0,1,2,0.0,0.011737,0.0,0.0,1,2,4,3.05,0.0,0.0,0.0,9,clean
0.0,8,19,3.03,0.0,18,0.0,0.0,0,9.44761,0,0,0.001009,0.0,0,20,0.0,0.141003,1.03,0.0,0,7,2,4.04,0.009771,3.03,0.0,142,clean
0.0,1,3,0.0,0.0,0,0.0,0.0,0,3.42081,0,1,0.0,0.0,0,9,0.0,0.004877,0.0,0.0,4,4,1,1.01,0.0,0.0,0.0,83,clean
0.0,1,2,0.0,0.033278,32,1.02,6.17,0,1.26811,0,0,0.0,0.0,0,3,0.0,0.001556,0.0,0.0,1,1,3,2.02,0.0,0.0,0.0,10,clean
0.0,1,1,0.0,0.0,2,0.0,0.0,0,3.29051,0,0,0.0,0.0,0,1,0.0,0.003763,0.0,0.0,0,0,2,3.08,0.0,0.0,0.0,3,clean
0.0,1,5,0.0,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,2,12,0.0,0.154542,0.0,0.0,0,3,3,2.02,0.0,0.0,0.0,72,clean
1.01,15,17,1.01,0.0,0,0.0,0.0,1,6.65212,0,0,0.0,0.0,0,6,0.0,0.133409,0.0,0.0,1,2,1,1.01,0.001056,0.0,0.0,47,clean
0.0,2,29,3.04,0.03264,28,0.0,8.09,1,29.1299,1,3,0.000481,1.01,1,16,1.01,0.209644,2.02,0.000186,4,5,2,7.09,0.00278,3.04,0.0,282,clean
2.04,5,5,3.05,0.005575,152,0.0,4.09,0,6.77104,0,1,0.001087,1.15,15,12,0.0,0.010135,1.15,0.0,1,16,2,1.01,0.001015,1.01,0.0,55,clean
0.0,1,4,0.0,0.043647,397,1.02,23.65,0,6.20089,0,0,0.0,0.0,0,4,1.01,0.009281,0.0,0.0,0,0,5,3.03,0.000488,0.0,0.0,24,clean
0.0,1,28,3.03,0.016601,17,0.0,1.12,0,23.3337,1,3,0.0,0.0,0,9,0.0,0.049605,1.01,0.0,0,4,2,2.02,0.0,3.03,0.0,423,clean
3.04,2,13,6.08,0.041456,38,1.02,14.46,0,31.4543,5,3,0.001463,1.01,2,12,1.01,0.19938,1.01,0.001476,5,7,4,6.12,0.001713,5.05,0.0,412,clean
2.02,4,5,2.02,0.0,0,0.0,0.0,0,1.06049,0,0,0.0,0.0,0,3,0.0,0.003711,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,12,clean
0.0,1,2,0.0,0.0,0,0.0,0.0,0,9.12702,0,0,0.0,1.01,4,3,0.0,0.012638,1.01,0.0,0,4,1,1.01,0.0,0.0,0.0,18,clean
0.0,1,1,0.0,0.0,0,0.0,0.0,0,2.96868,0,0,0.0,0.0,0,4,0.0,0.003467,0.0,0.0,1,1,1,1.01,0.0,0.0,0.0,20,clean
0.0,1,4,0.0,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,4,16,0.0,0.154542,0.0,0.0,0,7,3,3.05,0.0,0.0,0.0,141,clean
1.01,5,23,3.03,0.0,0,0.0,0.0,2,12.8587,0,3,0.0,0.0,4,5,0.0,0.197965,0.0,0.0,0,4,1,1.01,0.0,2.02,0.0,200,clean
1.01,2,8,1.01,0.0,0,0.0,0.0,1,8.43424,0,5,0.0,0.0,3,20,2.03,0.016745,0.0,0.0,0,3,1,1.01,0.001889,0.0,0.0,128,clean
0.0,1,3,1.01,0.016601,34,0.0,1.12,0,7.42989,0,0,0.0,0.0,0,4,0.0,0.01111,0.0,0.0,0,0,5,4.04,0.0,1.01,0.0,28,clean
0.0,1,1,0.0,0.0,11,0.0,0.0,0,1.06049,0,0,0.0,0.0,0,1,0.0,0.003711,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,3,clean
1.01,2,15,6.11,0.0,18,0.0,0.0,2,25.6173,2,2,0.001691,0.0,0,8,2.03,0.167331,5.06,0.005192,9,9,2,4.04,0.003739,6.11,0.0,190,clean
1.01,1,4,1.01,0.0,0,0.0,0.0,0,5.18073,0,0,0.0,0.0,3,6,0.0,0.007147,0.0,0.0,0,3,1,1.01,0.0,0.0,0.0,88,clean
2.04,5,5,3.05,0.005575,152,0.0,4.09,0,6.77104,0,1,0.001087,1.15,15,12,0.0,0.010135,1.15,0.0,1,16,2,1.01,0.001015,1.01,0.0,55,clean
2.04,7,9,2.04,0.001421,95,0.0,1.01,0,7.27499,0,0,0.0,0.0,2,25,0.0,0.153141,0.0,0.0,0,15,2,2.02,0.0,0.0,0.0,96,clean
0.0,1,7,1.01,0.0,4,0.0,0.0,2,10.4389,0,0,0.0,0.0,0,11,1.01,0.134078,1.04,0.006873,8,8,2,3.05,0.005116,1.01,0.0,186,clean
0.0,1,4,1.01,0.043647,400,1.02,23.64,0,7.8386,0,0,0.0,0.0,1,3,0.0,0.011757,0.0,0.0,1,2,5,4.04,0.0,1.01,0.0,20,clean
0.0,2,12,2.02,0.001105,28,0.0,1.03,0,11.0281,0,1,0.001009,0.0,0,8,0.0,0.137491,0.0,0.0,0,1,4,4.1,0.001036,2.02,0.0,64,clean
0.0,1,2,0.0,0.037328,405,0.0,18.69,0,4.01609,0,0,0.0,0.0,0,8,1.02,0.008367,0.0,0.0,2,2,6,8.09,0.000898,0.0,0.0,56,clean
1.01,8,8,1.01,0.036902,35,1.02,9.2,0,8.13317,0,0,0.0,0.0,1,2,0.0,0.011737,0.0,0.0,1,2,4,3.05,0.0,0.0,0.0,9,clean
0.0,5,22,2.02,0.0,0,0.0,0.0,0,14.4323,1,0,0.0,0.0,0,11,0.0,0.021916,0.0,0.0,0,5,1,2.02,0.0,2.02,0.0,242,clean
1.01,5,9,1.01,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,2,14,0.0,0.154542,0.0,0.0,0,3,3,2.02,0.0,0.0,0.0,87,clean
0.0,1,4,0.0,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,3,15,0.0,0.154542,0.0,0.0,0,5,3,3.05,0.0,0.0,0.0,109,clean
0.0,1,6,0.0,0.049938,135,0.0,10.85,0,10.1241,0,0,0.0,0.0,0,9,0.0,0.021925,0.0,0.0,3,3,3,8.18,0.0,0.0,0.0,123,clean
0.0,5,10,1.01,0.0,69,0.0,0.0,1,2.35255,0,0,0.0,1.01,4,12,0.0,0.071151,1.01,0.0,0,4,8,0.0,0.0,1.01,0.0,59,clean
0.0,1,5,0.0,0.001421,95,0.0,1.01,0,10.8068,0,0,0.0,0.0,2,13,0.0,0.15805,0.0,0.0,0,3,3,3.05,0.000688,0.0,0.0,97,clean
0.0,3,4,0.0,0.0,0,0.0,0.0,0,4.07501,0,0,0.0,0.0,0,10,0.0,0.006219,0.0,0.0,0,2,1,1.01,0.0,0.0,0.0,44,clean
1.01,3,3,1.01,0.0,0,0.0,0.0,0,5.54249,0,0,0.0,0.0,0,10,3.04,0.016055,0.0,0.0,0,0,1,0.0,0.004481,0.0,0.0,0,clean
0.0,1,4,0.0,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,2,12,0.0,0.154542,0.0,0.0,0,3,3,2.02,0.0,0.0,0.0,59,clean
1.01,2,8,1.02,0.01888,52,0.0,10.12,0,7.86064,0,0,0.0,0.0,0,8,2.02,0.137064,1.01,0.00084,1,2,3,6.07,0.006875,1.01,0.0,69,buggy
3.07,6,7,3.07,0.0,0,0.0,0.0,1,19.8025,1,1,0.0,0.0,1,2,0.0,0.173451,14.4,0.024883,312,313,1,0.0,0.0,0.0,0.0,6,buggy
0.0,21,44,3.03,0.015435,262,1.02,13.91,1,30.2239,0,5,0.0127,1.01,5,29,1.01,0.223028,1.01,0.0,8,13,2,7.07,0.001087,3.03,0.0,687,buggy
0.0,5,13,1.01,0.015465,141,0.0,12.41,1,13.0996,0,0,0.0,0.0,0,9,1.01,0.05047,0.0,0.0,8,9,2,2.02,0.000852,2.02,0.0,139,buggy
1.02,3,8,2.03,0.01888,61,0.0,10.14,0,21.3849,0,0,0.0,0.0,0,11,1.01,0.163583,2.05,0.00084,10,16,4,10.15,0.002682,2.02,0.0,154,buggy
17.19,129,156,21.24,0.001366,4,0.0,1.24,1,43.7616,5,16,0.009341,2.04,4,403,30.53,0.250347,2.04,0.0,1,5,2,2.02,0.052248,5.07,0.0,6571,buggy
5.13,36,63,7.15,0.04453,391,1.02,24.65,1,37.7605,2,1,0.000936,0.0,0,27,2.02,0.222874,3.06,0.0,26,30,3,2.02,0.000923,4.05,0.0,624,buggy
0.0,1,6,0.0,0.001421,95,0.0,1.01,0,11.4275,0,0,0.0,0.0,2,15,0.0,0.15878,0.0,0.0,0,3,3,3.05,0.000688,0.0,0.0,166,buggy
27.53,82,125,30.78,0.0,0,0.0,0.0,5,42.8108,1,19,0.013569,3.12,13,104,19.26,0.262973,3.13,0.001205,1,14,1,1.01,0.036311,11.33,0.0,1892,buggy
4.04,7,18,5.05,0.009766,0,0.0,10.92,1,28.9486,4,0,0.0,1.01,1,36,2.02,0.094631,2.03,0.001692,4,5,1,1.01,0.015988,2.02,0.0,736,buggy
0.0,1,5,0.0,0.025373,68,0.0,14.23,0,7.90701,0,0,0.0,0.0,0,5,0.0,0.011926,0.0,0.0,0,1,2,4.04,0.0,0.0,0.0,69,buggy
3.04,6,13,4.05,0.030967,78,0.0,7.9,2,29.6783,4,4,0.002607,0.0,3,42,0.0,0.134308,8.36,0.002101,4,58,1,1.01,0.01142,1.01,0.0,1399,buggy
6.14,19,33,8.23,0.043647,384,1.02,23.66,1,27.4521,2,1,0.0,1.01,1,10,2.03,0.187975,1.01,0.0,3,5,4,5.06,0.001739,3.09,0.0,357,buggy
0.0,2,2,0.0,0.01888,74,0.0,10.15,0,7.82832,0,0,0.0,0.0,0,1,0.0,0.129073,0.0,0.0,0,2,6,10.15,0.0,0.0,0.0,7,buggy
2.05,3,18,4.16,0.004526,53,0.0,1.03,2,15.7424,0,1,0.006371,0.0,0,14,1.01,0.149122,0.0,0.0,0,0,6,13.26,0.009632,3.11,0.0,127,buggy
